Date, Open, High, Low, Close
8/24/2022,32899.01,33095.5,32828.56,32969.23
8/23/2022,33033.52,33138.26,32858.89,32909.59
8/22/2022,33586.59,33586.59,33007.63,33063.61
8/19/2022,33904.69,33904.69,33627.09,33706.74
8/18/2022,33981.86,34043.83,33844.46,33999.04
8/17/2022,34029.55,34161.01,33828.41,33980.32
8/16/2022,33924.35,34281.36,33852.57,34152.01
8/15/2022,33710.7,33954.71,33582.96,33912.44
8/12/2022,33430.72,33767.09,33398.32,33761.05
8/11/2022,33451.51,33651.8,33289.83,33336.67
8/10/2022,33130.63,33364.41,33130.63,33309.51
8/9/2022,32807.36,32877.53,32702.66,32774.41
8/8/2022,32877.36,33109.96,32769.1,32832.54
8/5/2022,32593.9,32814.61,32489.62,32803.47
8/4/2022,32805.69,32829.22,32652.63,32726.82
8/3/2022,32514.21,32912.74,32514.21,32812.5
8/2/2022,32691.29,32772.93,32387.12,32396.17
8/1/2022,32755.71,32972.03,32640.79,32798.4
7/29/2022,32515.62,32910.18,32493.02,32845.13
7/28/2022,32197.62,32609.54,31982.61,32529.63
7/27/2022,31865.05,32336.23,31799.43,32197.59
7/26/2022,31950.04,31950.04,31705.36,31761.54
7/25/2022,31950.93,32029.03,31821.67,31990.04
7/22/2022,32167.92,32219.25,31731.47,31899.29
7/21/2022,31826.49,32040.63,31534.08,32036.9
7/20/2022,31829.99,31944.45,31646.95,31874.84
7/19/2022,31165.91,31842.25,31165.91,31827.05
7/18/2022,31475.98,31644.68,30982.97,31072.61
7/15/2022,30775.37,31288.26,30775.37,31288.26
7/14/2022,30451.8,30680.12,30143.93,30630.17
7/13/2022,30743.63,30979.17,30514.61,30772.79
7/12/2022,31113.31,31346.1,30860.51,30981.33
7/11/2022,31277.98,31367.55,31114.4,31173.84
7/8/2022,31348.43,31511.46,31212.45,31338.15
7/7/2022,31190.65,31421.84,31154.64,31384.55
7/6/2022,30957.3,31224.69,30794.84,31037.68
7/5/2022,30903.12,30971.74,30355.12,30967.82
7/1/2022,30737.77,31139.35,30487.79,31097.26
6/30/2022,30790,30979.85,30431.87,30775.43
6/29/2022,31067.41,31152.96,30894.53,31029.31
6/28/2022,31549.05,31885.09,30934.33,30946.99
6/27/2022,31533.6,31598.59,31351.37,31438.26
6/24/2022,30846.94,31517.29,30846.94,31500.68
6/23/2022,30570.33,30715.63,30293.4,30677.36
6/22/2022,30352.57,30777.92,30166.01,30483.13
6/21/2022,30074.69,30653.98,30074.69,30530.25
6/17/2022,29912.7,30167.52,29653.29,29888.78
6/16/2022,30305.74,30305.74,29740.35,29927.07
6/15/2022,30570.5,31011.97,30185.08,30668.53
6/14/2022,30592.34,30690.8,30144.23,30364.83
6/13/2022,31144.91,31144.91,30373.72,30516.74
6/10/2022,32053.52,32053.52,31387.84,31392.79
6/9/2022,32828.62,32956.73,32267.78,32272.79
6/8/2022,33087.07,33156.5,32824.37,32910.9
6/7/2022,32783.03,33207.45,32641.85,33180.14
6/6/2022,33032.04,33235.37,32819.5,32915.78
6/3/2022,32986.32,33135.61,32839.21,32899.7
6/2/2022,32809.01,33248.61,32509.43,33248.28
6/1/2022,33156.31,33272.34,32584.76,32813.23
5/31/2022,33160.59,33240.22,32752.34,32990.12
5/27/2022,32735.09,33213.62,32682.01,33212.96
5/26/2022,32248.17,32774.14,32248.17,32637.19
5/25/2022,31816.31,32254.44,31754.33,32120.28
5/24/2022,31717.61,32014.86,31365.59,31928.62
5/23/2022,31395.89,31968.42,31395.89,31880.24
5/20/2022,31426.94,31515.78,30635.76,31261.9
5/19/2022,31262.62,31569.13,31016.41,31253.13
5/18/2022,32468.67,32468.67,31393.95,31490.07
